Model,Lang,Smell,F1,AUC
RNN,CSharp,CM,0.5328,0.7086
RNN,CSharp,CM,0.5354,0.7095
RNN,CSharp,CM,0.5389,0.7113
RNN,CSharp,CM,0.535,0.6979
RNN,CSharp,CM,0.5229,0.7127
RNN,CSharp,CC,0.2551,0.6991
RNN,CSharp,CC,0.2546,0.6859
RNN,CSharp,CC,0.2483,0.6441
RNN,CSharp,CC,0.3015,0.7062
RNN,CSharp,CC,0.2555,0.7097
RNN,CSharp,FE,0.0949,0.8224
RNN,CSharp,FE,0.092,0.8254
RNN,CSharp,FE,0.0854,0.8218
RNN,CSharp,FE,0.0931,0.828
RNN,CSharp,FE,0.0796,0.8424
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,Java,CM,0.6652,0.7563
RNN,Java,CM,0.6541,0.73
RNN,Java,CM,0.642,0.7445
RNN,Java,CM,0.6418,0.7373
RNN,Java,CM,0.6219,0.7469
RNN,Java,CC,0.3245,0.6075
RNN,Java,CC,0.3159,0.5982
RNN,Java,CC,0.3399,0.6124
RNN,Java,CC,0.3305,0.5936
RNN,Java,CC,0.3392,0.6033
RNN,Java,FE,0.104,0.7517
RNN,Java,FE,0.096,0.7373
RNN,Java,FE,0.0941,0.757
RNN,Java,FE,0.0922,0.7516
RNN,Java,FE,0.1087,0.7624
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
CodeBERT,CSharp,CM,0.7856,0.9838
CodeBERT,CSharp,CM,0.7761,0.974
CodeBERT,CSharp,CM,0.7645,0.9886
CodeBERT,CSharp,CM,0.7823,0.9798
CodeBERT,CSharp,CM,0.7865,0.9938
CodeBERT,CSharp,CC,0.5652,0.9971
CodeBERT,CSharp,CC,0.5726,0.9874
CodeBERT,CSharp,CC,0.5988,0.9797
CodeBERT,CSharp,CC,0.5807,0.996
CodeBERT,CSharp,CC,0.5877,0.9848
CodeBERT,CSharp,FE,0.1628,0.9038
CodeBERT,CSharp,FE,0.1466,0.9283
CodeBERT,CSharp,FE,0.1607,0.945
CodeBERT,CSharp,FE,0.152,0.9344
CodeBERT,CSharp,FE,0.1429,0.9535
CodeBERT,CSharp,MA,0.0,0.9279
CodeBERT,CSharp,MA,0.0394,0.9283
CodeBERT,CSharp,MA,0.0,0.9279
CodeBERT,CSharp,MA,0.0,0.9262
CodeBERT,CSharp,MA,0.0406,0.9247
CodeBERT,Java,CM,0.9416,1.0
CodeBERT,Java,CM,0.9436,0.9964
CodeBERT,Java,CM,0.95,0.997
CodeBERT,Java,CM,0.9455,0.9983
CodeBERT,Java,CM,0.9493,0.9933
CodeBERT,Java,CC,0.9109,0.998
CodeBERT,Java,CC,0.9163,0.998
CodeBERT,Java,CC,0.9189,0.998
CodeBERT,Java,CC,0.9126,0.998
CodeBERT,Java,CC,0.9063,0.998
CodeBERT,Java,FE,0.2871,0.9164
CodeBERT,Java,FE,0.299,0.9588
CodeBERT,Java,FE,0.2803,0.9245
CodeBERT,Java,FE,0.2801,0.926
CodeBERT,Java,FE,0.2785,0.9393
CodeBERT,Java,MA,0.0581,0.9292
CodeBERT,Java,MA,0.0551,0.9354
CodeBERT,Java,MA,0.0573,0.9428
CodeBERT,Java,MA,0.0563,0.9296
CodeBERT,Java,MA,0.0632,0.943
AE,CSharp,CM,0.3078,0.8555
AE,CSharp,CM,0.3025,0.8525
AE,CSharp,CM,0.3062,0.8311
AE,CSharp,CM,0.3185,0.8675
AE,CSharp,CM,0.275,0.8534
AE,CSharp,CC,0.094,0.7743
AE,CSharp,CC,0.1021,0.739
AE,CSharp,CC,0.0866,0.7557
AE,CSharp,CC,0.0996,0.7638
AE,CSharp,CC,0.0927,0.7522
AE,CSharp,FE,0.0312,0.8494
AE,CSharp,FE,0.0371,0.8496
AE,CSharp,FE,0.0357,0.8502
AE,CSharp,FE,0.0,0.8465
AE,CSharp,FE,0.021,0.8393
AE,CSharp,MA,0.0,0.9
AE,CSharp,MA,0.0003,0.9096
AE,CSharp,MA,0.0065,0.9012
AE,CSharp,MA,0.0132,0.8967
AE,CSharp,MA,0.0,0.9275
AE,Java,CM,0.5561,0.7888
AE,Java,CM,0.5628,0.806
AE,Java,CM,0.5553,0.8011
AE,Java,CM,0.5689,0.7845
AE,Java,CM,0.5519,0.7946
AE,Java,CC,0.3197,0.6865
AE,Java,CC,0.2938,0.6953
AE,Java,CC,0.2938,0.7083
AE,Java,CC,0.2991,0.6921
AE,Java,CC,0.2936,0.6828
AE,Java,FE,0.0992,0.8013
AE,Java,FE,0.0,0.8146
AE,Java,FE,0.0,0.8205
AE,Java,FE,0.0,0.7913
AE,Java,FE,0.1058,0.8123
AE,Java,MA,0.0,0.8114
AE,Java,MA,0.0,0.823
AE,Java,MA,0.0287,0.8221
AE,Java,MA,0.0263,0.8052
AE,Java,MA,0.0,0.8083
Qwen,CSharp,CM,0.0645,0.245
Qwen,CSharp,CM,0.0,0.245
Qwen,CSharp,CM,0.0655,0.245
Qwen,CSharp,CM,0.0,0.245
Qwen,CSharp,CM,0.0,0.245
Qwen,CSharp,CC,0.263,0.28
Qwen,CSharp,CC,0.2596,0.28
Qwen,CSharp,CC,0.2673,0.28
Qwen,CSharp,CC,0.275,0.28
Qwen,CSharp,CC,0.2601,0.28
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
Qwen,CSharp,FE,0.0,0.5
