Model,Lang,Smell,Mode,F1,AUC
RNN,CSharp,CM,Semantic,0.3133,0.6415
RNN,CSharp,CM,Semantic,0.3266,0.6238
RNN,CSharp,CM,Semantic,0.3318,0.6492
RNN,CSharp,CM,Semantic,0.3164,0.6477
RNN,CSharp,CM,Semantic,0.3119,0.6428
RNN,CSharp,CM,Structural,0.2862,0.6107
RNN,CSharp,CM,Structural,0.2971,0.608
RNN,CSharp,CM,Structural,0.2921,0.5822
RNN,CSharp,CM,Structural,0.2892,0.6055
RNN,CSharp,CM,Structural,0.2854,0.5986
RNN,CSharp,CM,Hybrid,0.263,0.6062
RNN,CSharp,CM,Hybrid,0.2757,0.6026
RNN,CSharp,CM,Hybrid,0.2599,0.6064
RNN,CSharp,CM,Hybrid,0.259,0.5903
RNN,CSharp,CM,Hybrid,0.2774,0.5795
RNN,CSharp,CM,NLP,0.4389,0.6711
RNN,CSharp,CM,NLP,0.4627,0.6638
RNN,CSharp,CM,NLP,0.4585,0.6565
RNN,CSharp,CM,NLP,0.4527,0.6658
RNN,CSharp,CM,NLP,0.4522,0.6778
RNN,CSharp,CC,Semantic,0.1657,0.6108
RNN,CSharp,CC,Semantic,0.1558,0.6233
RNN,CSharp,CC,Semantic,0.1642,0.6246
RNN,CSharp,CC,Semantic,0.1441,0.6127
RNN,CSharp,CC,Semantic,0.1452,0.6286
RNN,CSharp,CC,Structural,0.145,0.595
RNN,CSharp,CC,Structural,0.1324,0.5756
RNN,CSharp,CC,Structural,0.1483,0.5954
RNN,CSharp,CC,Structural,0.1416,0.6104
RNN,CSharp,CC,Structural,0.1527,0.5886
RNN,CSharp,CC,Hybrid,0.1307,0.6033
RNN,CSharp,CC,Hybrid,0.1313,0.606
RNN,CSharp,CC,Hybrid,0.1273,0.5784
RNN,CSharp,CC,Hybrid,0.1234,0.5824
RNN,CSharp,CC,Hybrid,0.1423,0.6099
RNN,CSharp,CC,NLP,0.2549,0.6364
RNN,CSharp,CC,NLP,0.2156,0.6822
RNN,CSharp,CC,NLP,0.2111,0.6449
RNN,CSharp,CC,NLP,0.1994,0.6403
RNN,CSharp,CC,NLP,0.209,0.6562
RNN,CSharp,FE,Semantic,0.0542,0.6955
RNN,CSharp,FE,Semantic,0.0517,0.6894
RNN,CSharp,FE,Semantic,0.0486,0.6853
RNN,CSharp,FE,Semantic,0.0486,0.6903
RNN,CSharp,FE,Semantic,0.0569,0.6795
RNN,CSharp,FE,Structural,0.0549,0.6665
RNN,CSharp,FE,Structural,0.0494,0.6826
RNN,CSharp,FE,Structural,0.0546,0.6769
RNN,CSharp,FE,Structural,0.0529,0.6746
RNN,CSharp,FE,Structural,0.0482,0.6544
RNN,CSharp,FE,Hybrid,0.0866,0.6224
RNN,CSharp,FE,Hybrid,0.0934,0.6311
RNN,CSharp,FE,Hybrid,0.0,0.6355
RNN,CSharp,FE,Hybrid,0.0,0.637
RNN,CSharp,FE,Hybrid,0.0,0.634
RNN,CSharp,FE,NLP,0.0696,0.7784
RNN,CSharp,FE,NLP,0.0744,0.7459
RNN,CSharp,FE,NLP,0.0611,0.7349
RNN,CSharp,FE,NLP,0.0709,0.7455
RNN,CSharp,FE,NLP,0.074,0.7553
RNN,CSharp,MA,Semantic,0.0,0.5
RNN,CSharp,MA,Semantic,0.0,0.5
RNN,CSharp,MA,Semantic,0.0,0.5
RNN,CSharp,MA,Semantic,0.0,0.5
RNN,CSharp,MA,Semantic,0.0,0.5
RNN,CSharp,MA,Structural,0.0,0.5
RNN,CSharp,MA,Structural,0.0,0.5
RNN,CSharp,MA,Structural,0.0,0.5
RNN,CSharp,MA,Structural,0.0,0.5
RNN,CSharp,MA,Structural,0.0,0.5
RNN,CSharp,MA,Hybrid,0.0,0.5
RNN,CSharp,MA,Hybrid,0.0,0.5
RNN,CSharp,MA,Hybrid,0.0,0.5
RNN,CSharp,MA,Hybrid,0.0,0.5
RNN,CSharp,MA,Hybrid,0.0,0.5
RNN,CSharp,MA,NLP,0.0,0.5
RNN,CSharp,MA,NLP,0.0,0.5
RNN,CSharp,MA,NLP,0.0,0.5
RNN,CSharp,MA,NLP,0.0,0.5
RNN,CSharp,MA,NLP,0.0,0.5
RNN,Java,CM,Semantic,0.3778,0.6255
RNN,Java,CM,Semantic,0.4014,0.6633
RNN,Java,CM,Semantic,0.3648,0.6335
RNN,Java,CM,Semantic,0.3938,0.64
RNN,Java,CM,Semantic,0.3922,0.6477
RNN,Java,CM,Structural,0.3799,0.6265
RNN,Java,CM,Structural,0.3536,0.622
RNN,Java,CM,Structural,0.365,0.5995
RNN,Java,CM,Structural,0.3657,0.6252
RNN,Java,CM,Structural,0.3558,0.6218
RNN,Java,CM,Hybrid,0.3294,0.6056
RNN,Java,CM,Hybrid,0.3302,0.6212
RNN,Java,CM,Hybrid,0.3385,0.6161
