Model,Lang,Smell,Ratio,F1,AUC
RNN,CSharp,CM,10%,0.5365,0.7445
RNN,CSharp,CM,10%,0.5658,0.7548
RNN,CSharp,CM,10%,0.551,0.7526
RNN,CSharp,CM,10%,0.5581,0.7421
RNN,CSharp,CM,10%,0.5486,0.756
RNN,CSharp,CM,30%,0.577,0.7443
RNN,CSharp,CM,30%,0.5642,0.7502
RNN,CSharp,CM,30%,0.5334,0.758
RNN,CSharp,CM,30%,0.5486,0.7675
RNN,CSharp,CM,30%,0.5418,0.77
RNN,CSharp,CM,50%,0.5582,0.7513
RNN,CSharp,CM,50%,0.5545,0.7591
RNN,CSharp,CM,50%,0.5705,0.7464
RNN,CSharp,CM,50%,0.5611,0.7738
RNN,CSharp,CM,50%,0.5607,0.7644
RNN,CSharp,CC,10%,0.2743,0.7208
RNN,CSharp,CC,10%,0.302,0.6766
RNN,CSharp,CC,10%,0.2556,0.73
RNN,CSharp,CC,10%,0.2899,0.718
RNN,CSharp,CC,10%,0.2982,0.7196
RNN,CSharp,CC,30%,0.2731,0.7319
RNN,CSharp,CC,30%,0.3204,0.7305
RNN,CSharp,CC,30%,0.2782,0.6858
RNN,CSharp,CC,30%,0.279,0.7306
RNN,CSharp,CC,30%,0.2643,0.7262
RNN,CSharp,CC,50%,0.2931,0.7187
RNN,CSharp,CC,50%,0.2891,0.7116
RNN,CSharp,CC,50%,0.2891,0.7125
RNN,CSharp,CC,50%,0.2665,0.7098
RNN,CSharp,CC,50%,0.2872,0.7074
RNN,CSharp,FE,10%,0.1193,0.7408
RNN,CSharp,FE,10%,0.1264,0.7375
RNN,CSharp,FE,10%,0.1284,0.753
RNN,CSharp,FE,10%,0.1175,0.7151
RNN,CSharp,FE,10%,0.1034,0.7536
RNN,CSharp,FE,30%,0.099,0.7433
RNN,CSharp,FE,30%,0.114,0.7465
RNN,CSharp,FE,30%,0.1127,0.7544
RNN,CSharp,FE,30%,0.1127,0.7355
RNN,CSharp,FE,30%,0.1166,0.7353
RNN,CSharp,FE,50%,0.0928,0.7316
RNN,CSharp,FE,50%,0.1181,0.7401
RNN,CSharp,FE,50%,0.1251,0.7498
RNN,CSharp,FE,50%,0.1097,0.7375
RNN,CSharp,FE,50%,0.1193,0.741
RNN,CSharp,MA,10%,0.058,0.7527
RNN,CSharp,MA,10%,0.0,0.7517
RNN,CSharp,MA,10%,0.0,0.7665
RNN,CSharp,MA,10%,0.0,0.7572
RNN,CSharp,MA,10%,0.057,0.7469
RNN,CSharp,MA,30%,0.0624,0.7475
RNN,CSharp,MA,30%,0.0726,0.7516
RNN,CSharp,MA,30%,0.0,0.7598
RNN,CSharp,MA,30%,0.0,0.7414
RNN,CSharp,MA,30%,0.0,0.7597
RNN,CSharp,MA,50%,0.0359,0.757
RNN,CSharp,MA,50%,0.0345,0.7511
RNN,CSharp,MA,50%,0.0,0.7512
RNN,CSharp,MA,50%,0.0382,0.7746
RNN,CSharp,MA,50%,0.0464,0.7461
RNN,Java,CM,10%,0.6602,0.7693
RNN,Java,CM,10%,0.6621,0.7748
RNN,Java,CM,10%,0.6827,0.7682
RNN,Java,CM,10%,0.6827,0.742
RNN,Java,CM,10%,0.6723,0.7657
RNN,Java,CM,30%,0.6684,0.7518
RNN,Java,CM,30%,0.6801,0.7472
RNN,Java,CM,30%,0.6705,0.7661
RNN,Java,CM,30%,0.6821,0.7612
RNN,Java,CM,30%,0.6639,0.7837
RNN,Java,CM,50%,0.681,0.7289
RNN,Java,CM,50%,0.6651,0.7833
RNN,Java,CM,50%,0.6688,0.7838
RNN,Java,CM,50%,0.6904,0.7848
RNN,Java,CM,50%,0.6597,0.7892
RNN,Java,CC,10%,0.3593,0.7147
RNN,Java,CC,10%,0.3572,0.7436
RNN,Java,CC,10%,0.3446,0.7692
RNN,Java,CC,10%,0.3506,0.7439
RNN,Java,CC,10%,0.3383,0.7586
RNN,Java,CC,30%,0.3539,0.7463
RNN,Java,CC,30%,0.3421,0.7563
RNN,Java,CC,30%,0.3714,0.7595
RNN,Java,CC,30%,0.3613,0.7572
RNN,Java,CC,30%,0.3613,0.7507
RNN,Java,CC,50%,0.3189,0.7639
RNN,Java,CC,50%,0.3639,0.7674
RNN,Java,CC,50%,0.3629,0.7451
RNN,Java,CC,50%,0.3558,0.7263
RNN,Java,CC,50%,0.3635,0.7523
RNN,Java,FE,10%,0.1289,0.7877
RNN,Java,FE,10%,0.1166,0.7645
RNN,Java,FE,10%,0.1343,0.7536
RNN,Java,FE,10%,0.131,0.7593
RNN,Java,FE,10%,0.1192,0.7749
RNN,Java,FE,30%,0.1142,0.75
RNN,Java,FE,30%,0.1113,0.776
RNN,Java,FE,30%,0.1171,0.7667
RNN,Java,FE,30%,0.1147,0.781
RNN,Java,FE,30%,0.1477,0.7863
RNN,Java,FE,50%,0.1311,0.7617
RNN,Java,FE,50%,0.1376,0.7706
RNN,Java,FE,50%,0.1322,0.7699
RNN,Java,FE,50%,0.1201,0.7661
RNN,Java,FE,50%,0.119,0.7717
RNN,Java,MA,10%,0.0,0.7376
RNN,Java,MA,10%,0.0914,0.7605
RNN,Java,MA,10%,0.0,0.748
RNN,Java,MA,10%,0.0936,0.7631
RNN,Java,MA,10%,0.0,0.7558
RNN,Java,MA,30%,0.0001,0.7521
RNN,Java,MA,30%,0.0549,0.7448
RNN,Java,MA,30%,0.0565,0.7571
RNN,Java,MA,30%,0.0541,0.7291
RNN,Java,MA,30%,0.0394,0.7569
RNN,Java,MA,50%,0.0978,0.7496
RNN,Java,MA,50%,0.0,0.7688
RNN,Java,MA,50%,0.0,0.7568
RNN,Java,MA,50%,0.0972,0.7529
RNN,Java,MA,50%,0.0,0.7569
CodeBERT,CSharp,CM,10%,0.9838,0.9904
