Model,Lang,Smell,F1,AUC
RNN,CSharp,CM,0.531,0.706
RNN,CSharp,CM,0.536,0.711
RNN,CSharp,CM,0.529,0.704
RNN,CSharp,CM,0.535,0.71
RNN,CSharp,CM,0.534,0.709
RNN,CSharp,CC,0.261,0.6869999999999999
RNN,CSharp,CC,0.266,0.692
RNN,CSharp,CC,0.259,0.6849999999999999
RNN,CSharp,CC,0.265,0.691
RNN,CSharp,CC,0.264,0.69
RNN,CSharp,FE,0.087,0.826
RNN,CSharp,FE,0.092,0.831
RNN,CSharp,FE,0.08499999999999999,0.824
RNN,CSharp,FE,0.091,0.83
RNN,CSharp,FE,0.09,0.829
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,CSharp,MA,0.0,0.5
RNN,Java,CM,0.643,0.741
RNN,Java,CM,0.648,0.746
RNN,Java,CM,0.641,0.739
RNN,Java,CM,0.647,0.745
RNN,Java,CM,0.646,0.744
RNN,Java,CC,0.328,0.601
RNN,Java,CC,0.333,0.606
RNN,Java,CC,0.326,0.599
RNN,Java,CC,0.332,0.605
RNN,Java,CC,0.331,0.604
RNN,Java,FE,0.097,0.75
RNN,Java,FE,0.10200000000000001,0.755
RNN,Java,FE,0.095,0.748
RNN,Java,FE,0.101,0.754
RNN,Java,FE,0.1,0.753
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
RNN,Java,MA,0.0,0.5
CodeBERT,CSharp,CM,0.777,0.982
CodeBERT,CSharp,CM,0.782,0.987
CodeBERT,CSharp,CM,0.775,0.98
CodeBERT,CSharp,CM,0.781,0.986
CodeBERT,CSharp,CM,0.78,0.985
CodeBERT,CSharp,CC,0.579,0.987
CodeBERT,CSharp,CC,0.584,0.992
CodeBERT,CSharp,CC,0.577,0.985
CodeBERT,CSharp,CC,0.583,0.991
CodeBERT,CSharp,CC,0.582,0.99
CodeBERT,CSharp,FE,0.151,0.931
CodeBERT,CSharp,FE,0.156,0.936
CodeBERT,CSharp,FE,0.149,0.929
CodeBERT,CSharp,FE,0.155,0.935
CodeBERT,CSharp,FE,0.154,0.934
CodeBERT,CSharp,MA,0.014,0.925
CodeBERT,CSharp,MA,0.019,0.93
CodeBERT,CSharp,MA,0.012,0.923
CodeBERT,CSharp,MA,0.018000000000000002,0.929
CodeBERT,CSharp,MA,0.017,0.928
CodeBERT,Java,CM,0.944,0.995
CodeBERT,Java,CM,0.949,1.0
CodeBERT,Java,CM,0.942,0.993
CodeBERT,Java,CM,0.948,0.999
CodeBERT,Java,CM,0.947,0.998
CodeBERT,Java,CC,0.911,0.996
CodeBERT,Java,CC,0.916,1.001
CodeBERT,Java,CC,0.909,0.994
CodeBERT,Java,CC,0.915,1.0
CodeBERT,Java,CC,0.914,0.999
CodeBERT,Java,FE,0.283,0.931
CodeBERT,Java,FE,0.288,0.936
CodeBERT,Java,FE,0.28099999999999997,0.929
CodeBERT,Java,FE,0.287,0.935
CodeBERT,Java,FE,0.286,0.934
CodeBERT,Java,MA,0.056,0.934
CodeBERT,Java,MA,0.061000000000000006,0.9390000000000001
CodeBERT,Java,MA,0.054000000000000006,0.932
CodeBERT,Java,MA,0.060000000000000005,0.9380000000000001
CodeBERT,Java,MA,0.059000000000000004,0.937
AE,CSharp,CM,0.3,0.85
AE,CSharp,CM,0.305,0.855
AE,CSharp,CM,0.298,0.848
AE,CSharp,CM,0.304,0.854
AE,CSharp,CM,0.303,0.853
AE,CSharp,CC,0.093,0.755
AE,CSharp,CC,0.098,0.76
AE,CSharp,CC,0.091,0.753
AE,CSharp,CC,0.097,0.759
