Model,Lang,Smell,Mode,F1,AUC,MCC
RNN,CSharp,CM,Semantic,0.368,0.649,0.213
RNN,CSharp,CC,Semantic,0.173,0.631,0.081
RNN,CSharp,FE,Semantic,0.061,0.721,0.003
RNN,CSharp,MA,Semantic,0.000,0.500,0.000
RNN,Java,CM,Semantic,0.418,0.662,0.262
RNN,Java,CC,Semantic,0.217,0.563,0.110
RNN,Java,FE,Semantic,0.065,0.662,-0.058
RNN,Java,MA,Semantic,0.000,0.500,0.000
CodeBERT,CSharp,CM,Semantic,0.649,0.880,0.532
CodeBERT,CSharp,CC,Semantic,0.471,0.872,0.349
CodeBERT,CSharp,FE,Semantic,0.131,0.818,0.002
CodeBERT,CSharp,MA,Semantic,0.013,0.833,-0.092
CodeBERT,Java,CM,Semantic,0.769,0.943,0.616
CodeBERT,Java,CC,Semantic,0.763,0.921,0.662
CodeBERT,Java,FE,Semantic,0.232,0.865,0.188
CodeBERT,Java,MA,Semantic,0.048,0.874,-0.050
AE,CSharp,CM,Semantic,0.218,0.785,0.044
AE,CSharp,CC,Semantic,0.068,0.682,-0.035
AE,CSharp,FE,Semantic,0.017,0.768,-0.062
AE,CSharp,MA,Semantic,0.003,0.836,-0.052
AE,Java,CM,Semantic,0.412,0.736,0.164
AE,Java,CC,Semantic,0.208,0.612,0.087
AE,Java,FE,Semantic,0.024,0.756,-0.039
AE,Java,MA,Semantic,0.007,0.766,-0.007
Qwen,CSharp,CM,Semantic,0.658,0.694,0.339
Qwen,CSharp,CC,Semantic,0.654,0.691,0.412
Qwen,CSharp,FE,Semantic,0.000,0.500,-0.020
Qwen,CSharp,MA,Semantic,0.000,0.500,-0.050
Qwen,Java,CM,Semantic,0.673,0.713,0.428
Qwen,Java,CC,Semantic,0.593,0.625,0.240
Qwen,Java,FE,Semantic,0.000,0.500,-0.034
Qwen,Java,MA,Semantic,0.000,0.500,-0.098
